wall_thickness,draft_angle,corner_radius,aspect_ratio,undercut_present,wall_uniformity,material,risk_score,failure
5.653,1.915,0.542,11.999,0,0.775,PP,35.83,0
0.5,1.151,0.491,5.484,0,0.72,TPU,50.21,1
0.5,1.075,0.5,2.33,1,0.619,PC,96.31,1
2.351,2.185,0.479,14.2,1,0.812,Nylon,62.21,1
1.0,2.134,1.556,4.739,0,0.561,PC,51.46,1
5.095,2.666,1.006,14.987,0,0.552,PP,48.69,1
0.966,0.366,1.263,2.457,0,0.733,TPU,60.25,1
1.729,1.009,1.275,3.958,0,0.664,PC,13.25,0
2.983,1.119,0.379,4.147,0,0.517,TPU,29.05,0
4.425,1.02,1.829,4.669,1,0.885,PC,48.68,1
2.517,1.065,0.662,3.227,0,0.944,ABS,0.0,0
0.878,0.545,1.61,4.978,1,0.893,ABS,100.0,1
1.734,1.136,1.005,11.59,1,0.518,ABS,58.23,1
3.146,2.152,1.564,1.941,0,0.871,PP,1.71,0
4.386,1.14,0.843,3.743,1,0.969,ABS,48.91,1
1.872,1.972,1.246,3.786,0,0.883,Nylon,6.8,0
0.619,1.799,0.394,2.778,0,0.467,PC,56.83,1
1.448,1.794,0.967,3.296,1,0.529,ABS,76.55,1
0.983,0.534,1.069,3.931,1,0.873,PC,93.6,1
4.757,0.861,1.221,6.26,1,0.608,ABS,87.94,1
1.708,1.181,1.706,2.659,1,0.497,ABS,39.44,0
2.045,2.221,1.27,11.364,0,0.714,PC,20.77,0
0.752,2.165,0.632,6.702,0,0.732,PP,41.86,0
0.952,1.677,1.628,3.722,0,0.692,ABS,49.21,1
1.11,0.688,0.899,6.287,0,0.646,Nylon,49.44,1
1.511,2.082,0.918,2.922,1,0.666,PP,37.14,0
3.243,0.977,0.838,4.909,1,0.61,TPU,38.81,0
3.344,0.066,0.887,4.068,0,0.694,Nylon,38.95,0
1.355,1.627,0.914,2.304,1,0.576,ABS,78.47,1
3.144,1.013,1.653,7.332,0,0.875,ABS,0.0,0
6.0,0.408,0.706,10.249,1,0.802,TPU,74.87,1
2.223,1.495,0.314,2.217,1,0.546,Nylon,61.21,1
0.51,0.85,0.331,3.661,0,0.802,PC,76.78,1
0.509,1.583,1.04,8.99,1,0.774,TPU,74.82,1
1.127,2.79,0.774,2.449,0,0.404,PP,51.22,1
5.874,0.926,0.672,2.064,1,0.457,TPU,46.15,1
4.183,1.918,1.052,3.935,1,0.709,PC,44.98,0
2.989,2.099,1.389,3.945,0,0.639,ABS,4.62,0
0.959,0.663,0.797,4.186,0,0.835,ABS,66.54,1
1.266,0.0,0.167,5.188,0,0.397,Nylon,47.97,1
0.994,0.974,1.223,2.477,1,0.678,PP,100.0,1
3.297,1.962,0.914,3.565,1,0.707,PP,29.78,0
2.234,1.588,1.26,7.184,1,0.584,PC,33.28,0
0.899,0.6,1.05,6.277,1,0.639,Nylon,79.82,1
3.416,1.606,0.806,5.254,0,0.425,PC,12.25,0
0.5,2.09,0.489,3.988,1,0.341,Nylon,100.0,1
3.14,1.915,1.2,6.416,0,0.828,TPU,0.0,0
1.911,0.257,0.214,5.563,1,0.593,Nylon,85.14,1
5.706,1.642,0.81,1.654,1,0.658,PP,56.91,1
2.302,1.111,0.448,11.68,1,0.647,ABS,69.74,1
2.274,1.812,0.467,2.799,1,0.763,Nylon,45.72,1
1.661,1.504,0.976,6.76,0,0.718,PP,0.0,0
0.938,1.688,0.508,8.348,1,0.809,PP,68.66,1
3.117,1.169,1.741,4.312,1,0.881,TPU,33.92,0
4.689,1.399,1.337,3.839,1,0.872,ABS,47.58,1
3.52,1.692,0.332,2.774,1,0.704,PP,44.01,0
2.724,1.219,1.236,2.344,1,0.643,PP,64.54,1
0.964,1.562,0.913,2.611,1,0.619,ABS,80.0,1
2.351,0.577,0.56,4.013,0,0.704,PC,22.11,0
2.589,0.997,0.238,2.739,0,0.913,Nylon,16.43,0
2.542,2.828,1.316,4.835,0,0.546,PC,5.87,0
0.956,1.492,1.094,6.058,1,0.77,ABS,69.03,1
5.945,2.438,1.267,6.937,1,0.73,PP,50.15,1
4.769,1.682,0.888,6.913,0,0.595,ABS,33.02,0
2.579,1.359,0.554,8.168,0,0.438,ABS,9.1,0
1.228,0.928,0.582,5.726,1,0.768,ABS,97.77,1
0.874,1.598,1.008,4.706,0,0.94,PP,38.41,0
2.929,1.044,1.549,2.24,0,0.688,PP,32.64,0
2.406,1.466,1.11,4.89,0,0.566,ABS,10.69,0
1.635,1.228,0.725,5.013,0,0.649,PP,33.38,0
1.693,1.899,0.321,1.009,1,0.613,PP,55.47,1
1.11,2.002,1.275,1.535,0,0.611,Nylon,47.57,1
3.141,1.241,1.074,3.689,1,0.906,PP,58.99,1
2.399,1.746,0.307,7.034,0,0.705,ABS,13.09,0
0.996,1.062,0.348,4.804,0,0.81,Nylon,61.07,1
2.708,1.351,0.613,4.012,1,0.592,PP,64.48,1
3.869,0.538,0.202,1.559,0,0.692,ABS,47.45,1
2.264,0.874,0.915,3.244,1,0.766,ABS,58.29,1
0.722,1.668,1.163,3.85,1,0.665,Nylon,85.19,1
0.608,0.656,1.261,4.281,0,0.688,Nylon,54.62,1
2.557,0.702,1.12,6.912,0,0.593,ABS,24.21,0
0.501,1.333,1.667,4.125,0,0.607,TPU,49.37,1
5.198,1.566,0.224,14.582,0,0.539,PP,66.89,1
3.652,0.639,0.526,4.403,0,0.605,PC,53.44,1
3.895,0.79,0.154,12.501,1,0.713,ABS,80.6,1
3.741,1.762,1.209,6.243,0,0.736,PC,27.59,0
4.055,0.885,0.979,5.696,0,0.318,ABS,52.49,1
2.973,2.149,0.951,10.474,0,0.595,PP,32.75,0
1.443,1.894,0.998,4.069,0,0.913,ABS,35.03,0
2.582,0.661,0.53,6.327,1,0.808,TPU,37.28,0
1.313,0.269,0.717,11.696,1,0.634,Nylon,85.25,1
0.691,1.224,1.364,1.885,1,0.934,ABS,70.67,1
4.129,2.511,0.291,4.516,0,0.261,ABS,51.07,1
4.012,0.822,0.764,12.744,1,0.705,ABS,99.79,1
1.466,0.607,0.345,4.095,1,0.682,ABS,100.0,1
4.171,1.022,0.503,1.732,0,0.654,Nylon,47.32,1
1.78,2.241,0.423,6.014,0,0.579,ABS,16.84,0
4.017,0.558,0.925,3.778,0,0.63,PC,47.06,1
3.55,1.071,1.104,8.176,0,0.785,PC,19.26,0
0.549,1.32,1.095,10.236,0,0.686,PC,65.14,1
1.003,2.431,0.544,7.307,0,0.782,PP,42.42,0
4.103,0.449,0.842,10.017,0,0.744,ABS,64.41,1
0.852,1.656,0.309,4.766,0,0.567,ABS,63.22,1
5.07,0.874,0.966,3.27,0,0.756,ABS,40.05,0
5.997,1.445,1.217,4.42,0,0.5,TPU,11.34,0
4.937,1.046,0.412,2.071,0,0.446,PP,47.48,1
2.921,1.969,0.34,2.723,0,0.64,ABS,25.31,0
1.63,0.552,0.909,4.218,1,0.673,PC,60.53,1
6.0,1.521,1.861,1.261,0,0.571,TPU,12.23,0
5.046,1.156,0.993,4.472,0,0.62,PP,54.31,1
4.668,0.62,1.806,2.882,0,0.742,ABS,46.03,1
2.989,0.725,1.285,5.983,0,0.439,ABS,34.9,0
1.978,2.244,1.032,3.306,1,0.427,PC,41.36,0
1.211,1.054,0.239,4.985,1,0.618,PC,56.21,1
2.903,1.896,1.212,4.604,0,0.684,PP,3.79,0
1.901,1.807,0.774,2.088,0,0.715,PC,0.0,0
2.294,1.427,0.804,5.135,0,0.697,PC,3.65,0
3.348,0.618,0.348,4.578,0,0.959,TPU,16.02,0
4.879,0.774,0.707,6.736,1,0.64,ABS,91.13,1
5.958,0.43,0.935,14.994,1,0.652,TPU,93.74,1
0.5,0.544,0.807,11.907,0,0.686,TPU,74.01,1
1.482,2.23,1.462,8.223,1,0.758,ABS,72.1,1
5.802,2.229,1.078,1.83,0,0.718,PP,19.92,0
0.5,0.254,0.842,4.328,1,0.655,TPU,100.0,1
4.703,1.95,1.19,6.995,0,0.913,ABS,21.03,0
1.396,0.955,1.137,12.199,1,0.439,ABS,100.0,1
2.647,1.183,0.743,3.93,0,0.319,PP,36.23,0
3.04,1.718,0.278,6.906,1,0.654,PP,55.52,1
2.492,1.031,1.075,4.089,0,0.809,ABS,0.0,0
2.901,0.468,0.257,7.784,0,0.673,ABS,49.97,1
3.832,1.509,1.236,2.003,0,0.582,ABS,5.66,0
4.232,1.679,0.757,8.606,0,0.721,ABS,19.69,0
3.778,1.669,0.468,6.003,0,0.883,Nylon,39.81,0
5.809,0.0,1.428,2.023,0,0.921,TPU,27.45,0
2.878,1.56,1.235,6.833,0,0.66,PP,3.43,0
2.442,0.569,0.687,3.859,0,0.722,ABS,25.2,0
1.701,0.998,0.631,3.384,1,0.595,Nylon,40.9,0
2.456,0.868,0.958,3.759,0,0.801,ABS,20.42,0
3.501,1.783,0.585,9.858,0,0.721,ABS,0.0,0
1.014,1.228,0.729,4.047,1,0.899,PP,91.18,1
2.795,2.04,1.547,7.891,1,0.496,ABS,37.11,0
1.659,2.262,1.706,3.194,0,0.942,PP,0.0,0
6.0,0.726,0.847,3.623,0,0.654,TPU,9.6,0
0.715,0.654,1.311,7.879,0,0.939,ABS,60.77,1
2.258,1.69,1.188,7.572,0,0.813,ABS,1.94,0
5.372,0.899,1.081,6.966,0,0.369,PP,59.43,1
1.301,2.312,0.893,3.651,0,0.858,PP,47.5,1
5.793,1.7,1.146,1.809,1,0.758,PP,50.36,1
3.252,0.029,0.476,7.367,0,0.428,Nylon,45.93,1
1.079,1.265,0.843,2.645,0,0.51,TPU,6.65,0
1.132,1.933,1.074,2.34,1,0.584,PP,81.21,1
3.362,1.611,0.551,5.171,1,0.59,PP,46.21,1
4.326,0.521,0.463,3.938,0,0.372,PC,63.43,1
0.5,0.812,1.788,4.911,0,0.774,PC,60.63,1
2.57,0.489,0.935,8.465,1,0.804,TPU,57.96,1
1.38,1.067,0.373,7.998,0,0.776,Nylon,8.37,0
0.509,1.604,0.746,3.181,0,0.753,PC,40.83,0
3.042,0.108,0.356,7.51,1,0.44,TPU,82.34,1
3.689,1.233,0.822,4.182,0,0.609,PC,30.32,0
1.062,1.374,0.997,5.075,0,0.517,PP,72.03,1
0.856,1.882,0.716,8.061,0,0.651,ABS,45.88,1
0.502,1.368,0.457,2.324,0,0.954,PC,57.76,1
4.776,1.622,0.804,2.372,1,0.881,ABS,57.07,1
3.026,1.545,1.125,4.806,0,0.959,PP,0.0,0
4.388,1.993,1.385,5.514,1,0.745,ABS,55.96,1
1.559,0.987,1.264,4.734,1,0.947,PP,55.53,1
2.553,0.692,1.186,2.669,0,0.861,ABS,18.31,0
1.103,2.687,0.48,5.252,0,0.622,PP,68.71,1
0.991,1.349,1.017,5.366,0,0.973,PP,69.29,1
1.023,1.574,0.273,3.151,1,0.508,PP,100.0,1
0.863,2.209,1.34,5.106,1,0.498,PP,81.76,1
1.672,1.171,1.404,2.625,0,0.46,PP,35.36,0
2.435,1.685,0.36,2.88,0,0.547,ABS,24.52,0
4.021,1.014,0.341,2.589,0,0.809,ABS,34.08,0
2.66,0.647,0.364,6.256,0,0.498,ABS,53.85,1
5.847,1.618,1.19,6.425,0,0.529,PP,24.32,0
1.167,1.754,0.545,14.829,1,0.723,ABS,92.07,1
3.249,0.902,1.376,1.352,0,0.606,PP,38.53,0
0.5,1.954,0.845,3.148,0,0.522,PC,52.56,1
5.5,2.336,0.674,2.192,1,0.594,PP,58.14,1
0.572,0.581,0.647,3.558,0,0.648,TPU,50.0,1
3.745,1.459,0.875,3.84,1,0.663,PC,55.42,1
1.45,1.884,0.439,4.19,1,0.768,Nylon,48.29,1
0.5,0.703,1.096,3.867,1,0.412,PC,100.0,1
1.703,0.924,1.231,3.059,0,0.8,Nylon,0.83,0
6.0,0.364,1.322,3.487,0,0.866,TPU,23.72,0
2.484,1.75,1.093,3.004,0,0.768,PC,0.23,0
0.974,1.235,0.657,2.251,0,0.648,TPU,11.11,0
4.537,0.559,0.503,2.514,1,0.547,Nylon,62.21,1
3.037,0.453,0.489,4.28,0,0.769,TPU,37.37,0
3.185,2.224,1.308,6.383,0,0.736,PP,2.4,0
2.443,0.571,0.733,3.039,0,0.862,Nylon,0.0,0
3.068,2.148,0.866,3.389,0,0.652,ABS,0.0,0
3.605,1.448,0.966,5.11,1,0.668,Nylon,63.09,1
1.41,2.184,0.379,3.474,0,0.899,PP,51.61,1
3.453,1.169,0.665,9.254,1,0.499,Nylon,38.51,0
3.384,1.522,0.705,3.155,1,0.751,PP,26.52,0
0.659,0.521,0.443,2.266,0,0.833,Nylon,57.85,1
0.512,0.666,0.815,4.646,0,0.661,TPU,54.4,1
1.051,2.231,1.052,14.9,1,0.641,PP,98.96,1
2.201,0.883,1.356,2.973,0,0.65,Nylon,6.34,0
0.987,1.702,0.807,10.385,0,0.69,ABS,66.03,1
4.151,1.08,0.167,5.574,0,0.57,PC,45.14,1
4.066,0.44,0.347,6.588,0,0.773,Nylon,59.01,1
3.197,0.598,1.333,2.125,0,0.735,TPU,1.11,0
0.853,0.143,1.164,2.024,1,0.684,Nylon,100.0,1
5.655,1.405,0.612,3.758,0,0.57,PP,56.09,1
5.113,1.753,0.924,3.212,0,0.843,PP,20.53,0
0.811,0.714,1.568,4.074,0,0.635,TPU,50.14,1
0.634,2.056,0.426,2.425,1,0.61,TPU,95.97,1
0.947,0.335,0.536,5.105,0,0.556,Nylon,78.76,1
0.629,0.595,0.979,7.803,1,0.5,PC,98.83,1
2.959,1.684,0.189,4.596,0,0.335,TPU,24.22,0
1.551,1.512,0.34,3.377,1,0.571,ABS,51.4,1
2.77,1.628,0.727,10.987,0,0.668,ABS,32.71,0
0.5,0.772,0.905,7.256,0,0.705,TPU,44.58,0
5.635,2.276,0.197,5.684,0,0.585,PP,45.3,1
1.043,1.158,0.696,3.362,1,0.683,Nylon,74.67,1
4.289,1.846,1.008,4.314,0,0.708,PC,13.29,0
3.851,1.72,1.723,2.853,0,0.821,ABS,0.0,0
0.5,2.295,1.083,7.107,0,0.684,PC,47.8,1
1.133,1.579,0.531,3.233,0,0.864,PC,3.63,0
1.241,1.576,0.498,2.93,0,0.865,PP,49.43,1
0.804,2.025,1.723,8.753,0,0.468,PP,51.12,1
0.707,1.015,0.774,10.324,0,0.54,TPU,72.12,1
2.329,0.307,0.41,3.759,1,0.653,Nylon,83.07,1
0.723,0.471,1.322,4.352,0,0.565,PC,71.61,1
0.713,1.372,0.91,14.999,0,0.624,PC,75.05,1
4.792,2.526,0.477,10.212,0,0.622,PP,48.35,1
1.437,0.847,1.615,1.483,0,0.507,ABS,73.37,1
2.271,0.309,0.925,2.578,0,0.821,ABS,23.5,0
1.891,0.855,1.336,2.986,0,0.589,Nylon,2.04,0
0.573,1.662,1.032,2.553,0,0.564,Nylon,52.67,1
2.27,2.336,0.378,9.229,1,0.595,ABS,54.37,1
2.557,0.913,1.283,3.466,1,0.741,ABS,60.65,1
2.379,0.788,0.553,14.998,1,0.637,PC,92.7,1
2.61,0.311,0.668,4.849,0,0.523,ABS,39.77,0
2.665,0.922,1.169,4.909,0,0.558,ABS,42.47,0
3.975,2.153,1.034,4.754,1,0.709,ABS,35.43,0
5.903,0.641,0.339,3.593,1,0.643,TPU,57.68,1
2.0,0.361,1.501,4.662,0,0.538,PC,35.19,0
1.381,1.169,1.178,6.887,0,0.628,TPU,13.57,0
6.0,0.587,0.476,12.864,1,0.804,TPU,63.36,1
2.735,2.281,0.264,2.938,1,0.86,PP,49.87,1
4.717,1.958,0.506,6.146,1,0.584,PP,62.88,1
2.734,1.196,0.576,3.037,1,0.761,ABS,28.31,0
2.211,1.826,1.264,8.57,0,0.693,Nylon,14.37,0
2.32,0.787,0.507,6.198,1,0.863,PC,53.93,1
3.305,0.275,0.923,13.684,0,0.742,TPU,50.12,1
3.42,1.398,0.834,3.149,1,0.911,PP,54.74,1
1.074,1.313,1.561,1.721,0,0.612,TPU,12.68,0
0.5,1.384,0.745,5.696,0,0.659,Nylon,64.17,1
3.46,1.9,0.24,1.602,0,0.746,PC,19.55,0
2.966,0.986,0.58,5.862,1,0.918,PP,51.61,1
5.907,1.136,0.876,2.851,0,0.617,PP,45.69,1
5.727,1.53,1.051,5.418,1,0.757,PP,53.47,1
2.189,0.661,1.221,3.809,0,0.635,Nylon,7.36,0
3.551,1.392,0.882,4.102,1,0.843,PP,50.97,1
2.064,1.049,0.505,3.221,1,0.854,ABS,29.09,0
0.512,0.28,0.806,3.56,0,0.767,Nylon,65.37,1
2.821,1.169,0.119,4.176,1,0.787,PP,67.48,1
3.303,2.212,1.815,5.905,1,0.87,PP,29.89,0
1.064,0.45,1.463,3.647,0,0.636,ABS,68.27,1
2.786,1.443,0.982,3.896,1,0.814,PP,51.33,1
5.985,0.003,0.492,5.95,0,0.897,TPU,40.77,0
0.521,1.689,0.992,5.573,0,0.613,TPU,50.89,1
2.152,1.323,1.595,4.802,1,0.488,Nylon,44.55,0
3.022,0.417,0.193,2.589,1,0.662,TPU,80.5,1
0.64,0.464,0.564,6.17,1,0.61,Nylon,100.0,1
1.297,0.028,0.87,1.921,1,0.789,TPU,59.04,1
0.855,1.511,0.558,4.637,0,0.554,PC,50.65,1
1.223,2.357,0.884,11.272,0,0.641,PP,66.64,1
2.92,1.742,0.703,8.584,1,0.77,PP,21.7,0
0.603,0.77,1.074,6.119,1,0.808,Nylon,69.6,1
0.737,2.207,1.308,2.775,1,0.69,PP,76.19,1
6.0,1.497,0.612,4.408,1,0.538,PP,88.62,1
2.687,1.433,1.113,7.723,0,0.62,ABS,16.97,0
1.042,1.267,0.476,5.98,0,0.834,ABS,55.33,1
5.447,2.564,1.255,5.519,1,0.582,PP,55.39,1
5.485,2.47,0.642,2.698,1,0.816,PP,45.34,1
3.054,1.515,0.557,8.26,1,0.893,PP,31.86,0
1.145,0.987,0.528,4.805,0,0.859,Nylon,41.55,0
2.878,0.995,0.49,10.003,0,0.705,ABS,39.87,0
1.979,1.976,0.87,10.173,0,0.576,PC,26.38,0
3.77,1.101,1.224,8.979,1,0.659,PC,58.66,1
3.587,1.53,0.884,4.565,0,0.714,TPU,0.0,0
3.483,0.317,0.619,1.341,1,0.717,PC,63.44,1
4.979,2.262,1.144,3.345,0,0.786,PP,0.0,0
3.846,0.394,0.932,8.693,1,0.888,ABS,56.82,1
0.762,1.389,0.808,6.095,0,0.777,ABS,37.14,0
5.072,2.682,0.672,5.46,0,0.539,PP,24.45,0
0.5,0.709,0.432,4.774,0,0.241,TPU,67.31,1
2.507,0.897,0.784,4.586,1,0.624,PP,66.7,1
0.794,0.931,0.788,5.598,0,0.708,ABS,65.63,1
2.612,1.058,0.471,3.922,0,0.629,ABS,28.97,0
2.998,1.553,1.118,3.425,0,0.821,TPU,3.28,0
1.135,2.382,0.868,9.141,0,0.391,PP,55.36,1
6.0,1.419,0.454,5.812,1,0.76,TPU,43.96,0
4.427,2.361,0.762,11.674,0,0.588,ABS,58.94,1
4.333,0.635,1.072,4.425,0,0.66,ABS,56.88,1
1.093,1.513,1.272,2.016,0,0.612,PC,16.21,0
1.611,1.971,1.258,4.694,1,0.765,PP,27.86,0
2.813,0.689,1.548,8.258,0,0.839,Nylon,1.59,0
0.509,0.566,0.651,4.286,1,0.902,PC,88.65,1
0.503,0.685,1.194,5.483,1,0.752,PC,92.12,1
0.875,1.357,0.533,3.333,1,0.534,ABS,81.26,1
2.762,2.349,1.3,4.97,1,0.656,ABS,46.7,1
4.38,0.437,0.986,3.317,0,0.435,ABS,55.68,1
5.658,2.008,1.322,8.09,0,0.515,PP,29.97,0
0.683,1.487,0.684,5.699,1,0.884,Nylon,66.38,1
1.121,2.705,1.144,13.607,0,0.917,PP,68.78,1
1.773,0.962,0.762,7.811,1,0.871,PC,54.25,1
2.899,1.144,0.933,5.08,0,0.659,ABS,21.13,0
0.5,0.346,1.076,3.636,0,0.78,TPU,66.82,1
2.821,0.969,0.686,6.918,1,0.823,ABS,58.04,1
4.65,0.395,0.144,3.128,0,0.842,ABS,59.29,1
2.555,1.643,1.223,8.404,1,0.518,ABS,47.36,1
2.939,1.472,1.157,5.726,1,0.797,ABS,33.5,0
0.505,1.592,0.745,2.546,0,0.499,TPU,46.56,1
5.397,1.411,1.092,1.794,1,0.826,PP,79.95,1
2.782,0.897,1.404,2.753,1,0.756,PP,53.73,1
2.811,1.85,0.916,6.276,0,0.404,PP,8.2,0
2.379,1.479,0.491,10.349,0,0.649,ABS,47.1,1
0.5,0.563,1.004,2.265,1,0.74,PC,90.75,1
1.452,1.122,0.826,4.173,0,0.725,PP,58.18,1
5.747,2.184,1.214,7.031,0,0.627,PP,27.83,0
3.047,2.465,0.564,1.05,1,0.303,PP,36.07,0
2.522,2.009,1.341,11.752,1,0.787,PC,47.83,1
1.903,0.204,1.528,3.048,1,0.658,Nylon,73.62,1
0.502,1.273,1.176,4.087,1,0.543,PC,72.29,1
4.015,1.687,0.733,5.972,0,0.57,ABS,24.68,0
4.278,2.176,0.321,5.97,0,0.67,PC,45.61,1
1.36,1.463,1.189,3.863,0,0.789,PP,63.63,1
1.01,1.44,1.207,4.292,1,0.577,ABS,85.48,1
3.928,0.63,1.249,1.404,0,0.653,Nylon,35.31,0
2.81,1.436,0.922,4.471,1,0.73,ABS,28.06,0
1.419,2.446,0.209,4.559,1,0.675,ABS,99.29,1
1.522,2.501,1.008,5.106,0,0.489,PP,8.3,0
4.046,0.572,1.122,4.029,1,0.704,Nylon,50.49,1
0.892,0.881,1.121,3.783,0,0.684,PP,76.47,1
0.877,1.812,1.734,5.791,1,0.375,PP,82.54,1
1.44,1.825,0.486,5.155,1,0.822,PP,74.11,1
3.279,1.467,0.556,2.538,1,0.766,PP,58.74,1
3.224,2.999,0.693,8.057,0,0.914,PP,0.0,0
2.397,1.194,0.938,3.143,0,0.492,ABS,11.54,0
0.999,2.014,1.529,1.102,0,0.564,ABS,51.35,1
2.877,2.143,0.809,3.541,0,0.58,PP,16.03,0
1.943,0.628,0.363,7.375,0,0.706,Nylon,15.48,0
2.325,1.067,1.734,5.768,0,0.525,PC,12.16,0
5.868,1.543,1.368,1.463,1,0.836,TPU,27.45,0
0.607,1.722,1.595,2.106,0,0.894,PC,42.72,0
2.606,2.019,0.536,2.792,1,0.687,ABS,46.82,1
1.032,0.569,1.239,1.078,0,0.74,TPU,0.0,0
0.964,2.189,1.143,7.912,1,0.721,PC,69.53,1
2.4,1.72,0.949,3.801,1,0.666,ABS,39.19,0
1.902,1.847,1.265,2.75,0,0.544,PC,4.54,0
3.267,0.385,0.364,2.376,1,0.806,TPU,72.25,1
1.032,0.618,0.856,9.146,0,0.834,PC,20.76,0
3.325,1.484,1.287,3.139,1,0.876,PP,53.57,1
3.202,2.919,1.191,1.899,1,0.87,ABS,17.66,0
2.721,0.686,0.391,4.714,0,0.477,PC,58.58,1
0.854,1.539,0.797,9.309,1,0.708,ABS,66.27,1
3.545,2.053,0.621,1.841,0,0.885,PP,3.4,0
0.695,1.659,1.34,6.597,0,0.862,ABS,38.53,0
1.38,1.419,1.012,2.345,1,0.683,PP,100.0,1
3.783,1.955,0.896,9.647,0,0.806,PP,1.16,0
0.659,1.802,1.279,8.614,1,0.661,ABS,82.29,1
2.961,1.08,0.427,5.304,1,0.771,PP,69.45,1
0.509,1.015,1.064,8.287,0,0.521,Nylon,48.31,1
3.061,1.535,0.46,5.597,1,0.861,PP,46.76,1
0.635,1.381,1.467,8.378,1,0.952,TPU,62.17,1
2.653,0.875,0.432,3.551,0,0.758,ABS,38.58,0
4.517,1.205,0.576,4.543,1,0.614,ABS,60.29,1
2.517,0.3,1.383,4.219,0,0.857,ABS,26.41,0
2.325,1.65,0.977,1.64,1,0.388,ABS,47.56,1
2.348,1.054,0.919,5.523,1,0.265,ABS,33.55,0
2.872,1.065,0.736,2.981,1,0.51,PP,69.08,1
0.83,1.287,1.207,3.028,1,0.49,TPU,77.21,1
5.524,1.126,0.929,3.431,1,0.405,PP,83.0,1
0.5,0.075,0.196,7.879,0,0.595,TPU,94.92,1
2.213,1.043,0.555,5.051,0,0.736,ABS,0.46,0
1.734,2.157,0.877,3.185,1,0.568,ABS,40.23,0
3.214,2.518,0.55,5.052,0,0.593,PP,12.81,0
2.615,1.721,0.712,8.281,0,0.333,ABS,6.47,0
2.719,0.499,1.245,4.746,0,0.36,PC,31.75,0
1.713,1.128,0.828,5.322,1,0.653,PC,45.57,1
3.39,1.765,1.228,13.513,0,0.871,Nylon,21.26,0
0.998,2.559,1.18,3.661,0,0.58,PC,51.24,1
0.807,1.759,0.563,2.407,0,0.662,PC,57.82,1
3.65,0.554,0.895,1.431,0,0.448,PC,58.35,1
2.652,1.551,1.063,9.454,1,0.756,Nylon,36.71,0
3.45,2.42,0.819,2.574,1,0.652,PP,41.37,0
2.76,1.952,1.348,13.798,0,0.618,ABS,30.64,0
2.499,0.816,0.39,1.834,1,0.809,Nylon,43.61,0
1.912,1.475,0.405,8.466,0,0.633,PC,19.66,0
0.931,1.961,0.629,2.98,0,0.661,PP,52.53,1
2.887,2.62,0.598,5.321,1,0.523,PP,45.72,1
1.893,2.105,0.618,8.343,0,0.544,PC,4.27,0
3.497,1.662,0.889,1.329,0,0.23,Nylon,28.42,0
0.5,0.627,0.722,9.65,1,0.715,PC,91.61,1
0.634,1.731,0.633,13.886,0,0.755,PC,70.23,1
1.346,1.483,0.919,2.591,0,0.87,ABS,38.49,0
1.054,1.388,0.93,4.209,0,0.918,ABS,35.29,0
1.997,1.527,0.939,4.576,0,0.618,Nylon,8.57,0
5.612,2.021,0.849,1.756,1,0.961,PP,49.74,1
0.59,1.099,0.997,3.846,0,0.499,Nylon,52.59,1
3.143,1.285,0.277,4.232,0,0.748,PP,41.07,0
2.17,0.458,1.187,7.011,0,0.661,Nylon,40.08,0
5.536,2.427,0.566,3.468,1,0.851,PP,45.22,1
2.988,1.776,0.363,4.124,0,0.838,ABS,13.27,0
5.316,1.436,0.974,2.651,0,0.501,PP,51.01,1
0.51,0.97,0.857,1.686,0,0.774,PC,67.59,1
0.587,0.446,1.392,2.109,1,0.793,PC,98.79,1
0.5,2.035,0.919,9.714,1,0.91,PC,71.69,1
1.398,0.903,1.258,3.215,0,0.81,PP,67.35,1
1.827,0.398,1.014,4.392,1,0.684,Nylon,66.58,1
3.515,1.394,0.509,15.0,0,0.84,PP,52.44,1
2.779,1.825,0.846,3.279,0,0.698,PP,10.72,0
0.749,1.338,1.003,14.996,0,0.708,Nylon,56.54,1
3.622,0.925,0.992,10.563,1,0.823,TPU,53.1,1
4.943,1.787,0.431,1.816,0,0.791,ABS,39.62,0
1.603,0.332,0.898,4.289,0,0.532,ABS,38.71,0
2.521,0.224,1.001,4.368,0,0.312,Nylon,35.87,0
0.5,1.961,0.676,3.593,1,0.579,PC,79.84,1
2.947,0.724,1.67,6.108,0,0.767,ABS,26.69,0
2.375,0.951,0.638,1.918,1,0.205,PC,64.74,1
2.769,2.322,0.687,4.152,1,0.604,ABS,36.17,0
2.168,1.014,0.913,4.946,0,0.817,Nylon,0.48,0
3.498,0.661,0.309,5.116,1,0.717,Nylon,46.37,1
2.274,0.501,0.438,4.338,1,0.833,PC,67.6,1
4.073,1.238,1.469,3.779,1,0.646,Nylon,63.11,1
0.698,0.234,0.728,2.889,0,0.267,TPU,73.93,1
0.903,2.027,1.272,8.311,1,0.904,PP,71.46,1
3.669,1.35,0.794,3.116,0,0.611,ABS,16.35,0
2.39,1.961,1.119,2.651,0,0.536,PC,7.83,0
1.19,1.596,1.379,5.322,0,0.635,PP,41.46,0
2.739,1.618,1.611,1.83,0,0.705,PP,0.0,0
0.659,0.429,0.869,4.451,1,0.684,Nylon,100.0,1
2.058,0.951,0.939,15.0,0,0.926,PC,53.0,1
4.802,1.381,0.484,5.584,1,0.632,ABS,76.75,1
